AdID,CategoryID,Price
6077,34,3830.0
8742,50,6778.0
6405,22,2800.0
7660,51,2810.0
6149,47,4668.0
15653,41,30.0
10821,50,5699.0
16637,26,7800.0
1601,52,331.0
10290,38,11200.0
130,60,2695.0
4441,60,711.0
6854,22,1399.0
8567,22,5099.0
12603,60,999.0
9356,34,4510.0
7021,50,4620.0
16284,34,3920.0
11069,52,601.0
13593,38,79000.0
8024,34,3950.0
12798,34,3820.0
12377,34,14900.0
1281,34,4850.0
11540,34,54000.0
13214,13,1990.0
16267,38,19060.0
6778,51,8273.0
8013,60,879.0
6723,29,10286.0
15954,38,7840.0
1906,37,12000.0
17003,34,3940.0
11620,57,229.0
3914,50,105.0
17239,34,0.5
17068,38,2550.0
8899,38,11980.0
11809,34,12870.0
15871,44,19990.0
522,22,1499.0
9929,60,1387.0
4979,22,2490.0
14079,29,369.0
10540,34,76270.0
5106,22,3349.0
10489,50,1880.0
3707,47,700.0
8813,34,13860.0
13906,22,2079.0
944,5,2340.0
7505,22,5099.0
3672,52,323.0
5979,50,363.0
11011,60,2639.0
9060,60,671.0
4900,50,47033.0
8305,38,9570.0
16723,47,6190.0
2229,22,2299.0
3089,50,875.0
8931,29,4289.0
14000,47,22850.0
13353,34,14159.0
688,34,5000.0
14213,38,4700.0
3051,11,28000.0
15747,67,10400000.0
14285,11,17300.0
14196,50,2290.0
15247,22,2799.0
16916,60,478.0
11154,47,2190.0
7635,34,7760.0
5455,50,2939.0
8259,27,6790.0
15082,41,13990.0
13855,38,12290.0
156,16,9642.0
2747,60,1099.0
5569,4,35910.0
1020,50,2159.0
882,27,600.0
8472,34,3860.0
16304,60,567.0
14603,38,12400.0
5593,38,9800.0
16453,50,3200.0
4206,5,2637.0
6858,25,8999.0
15542,47,5990.0
8645,13,2590.0
3958,34,3860.0
16018,34,4980.0
10933,60,1679.0
8309,34,4900.0
3048,22,4769.0
394,34,3920.0
2543,52,434.0
14927,22,1950.0
11412,41,5990.0
10143,38,710.0
11538,27,1900.0
16862,34,8000.0
1498,22,2479.0
17341,37,25000.0
7498,34,6352.0
13799,47,1890.0
4748,22,990.0
16580,4,4500.0
12550,38,4200.0
17133,34,170000.0
6087,57,1005.0
24,34,5910.0
7204,47,4472.0
13757,47,1090.0
13631,53,16000.0
14906,60,690.0
14202,38,1950.0
12807,60,1039.0
2815,22,12880.0
11934,44,4490.0
7000,9,3790.0
2478,22,2249.0
16630,60,508.0
11966,50,13000.0
2028,52,487.0
14268,27,81690.0
5114,41,34990.0
6739,34,3490.0
12423,34,4710.0
14302,38,21800.0
11023,26,2388.0
14212,34,6199.5
15748,27,6490.0
11418,34,4410.0
12104,34,6690.0
13988,25,9990.0
2645,13,1290.0
199,26,13900.0
2175,34,14000.0
14095,22,6792.0
6664,41,890.0
5540,34,1816.0
12485,5,1298.0
5109,34,5000.0
514,41,3490.0
3327,34,1.0
4706,34,3990.0
1336,51,115990.0
9771,60,879.0
2322,52,487.0
16056,11,28800.0
12571,60,671.0
4720,22,6500.0
13759,51,19990.0
14689,41,16990.0
4922,47,3458.0
14437,38,1131.0
8550,34,4900.0
14249,22,4699.0
13171,38,34990.0
3178,60,510.0
14520,36,17900.0
16911,26,17999.0
4597,50,5875.0
6971,60,2429.0
13176,34,4190.0
13935,27,30990.0
1460,60,469.0
7844,38,7990.0
5466,47,5800.0
14604,26,22990.0
16436,34,8820.0
4252,34,4930.0
9184,41,1190.0
8223,26,9910.0
3669,34,9429.0
2232,38,16350.0
7154,22,3299.0
2340,16,16290.0
5340,38,5500.0
9952,50,55.0
12598,34,63380.0
5374,38,19490.0
4430,13,2390.0
3747,38,11770.0
4671,47,3837.0
14643,34,3510.0
12222,50,1290.0
13475,38,12390.0
1197,60,770.0
14537,38,36700.0
7903,34,1.0
10467,34,8830.0
10237,34,9000.0
11337,5,256312.0
15161,50,10229.0
11019,50,1042.0
9075,38,23900.0
15104,22,1699.0
8671,27,4990.0
15017,60,3499.0
367,27,4650.0
16920,22,2690.0
216,34,2170.0
1,34,4810.0
16486,38,2710.0
1408,60,2674.0
4180,22,4900.0
3166,27,95990.0
16022,9,630.0
10081,41,5490.0
13627,22,5200.0
7352,47,1547.0
4525,27,65000.0
16197,60,635.0
783,34,10000.0
12322,41,24990.0
3201,47,1761.0
15955,38,12000.0
5763,34,3930.0
3067,34,6860.0
14644,50,2790.0
10181,57,363.0
14001,38,5593.0
10858,25,14990.0
10682,22,2599.0
8517,22,3992.0
4021,47,1090.0
4138,60,789.0
12682,50,185.0
4507,38,7506.0
4305,38,7400.0
4860,29,3999.0
13531,37,35000.0
14417,4,4590.0
14722,34,3960.0
228,38,11028.0
7050,11,16330.0
3935,22,5699.0
6140,47,1025.0
16397,27,20990.0
5435,22,2999.0
7811,60,3759.0
4846,38,21341.0
13284,47,3590.0
14860,4,18000.0
1002,53,82000.0
1062,9,2100.0
14536,41,160.0
7043,11,15330.0
8415,53,690000.0
1733,9,480.0
10407,60,1181.0
491,57,183.0
17152,38,12140.0
8610,34,3870.0
6112,5,1899.0
14786,34,3690.0
10158,34,5000.0
672,27,18990.0
15344,60,729.0
8901,34,69400.0
6194,60,778.0
6475,22,2990.0
16472,27,1600.0
5671,25,18990.0
6088,60,1099.0
12467,22,4490.0
12496,34,4000.0
8342,22,3999.0
4891,27,7800.0
80,34,16000.0
14098,29,3131.0
12775,34,4560.0
16407,50,1749.0
2240,22,1699.0
8156,50,7400.0
8903,22,4949.0
9093,34,5840.0
9839,44,15678.0
13515,50,1990.0
6078,22,3612.0
2203,41,490.0
11813,22,2559.0
11992,22,8743.0
9562,34,9900.0
14296,26,37382.0
1788,27,4200.0
12212,53,7470.0
13455,38,12490.0
15229,34,57000.0
1789,26,34350.0
15640,34,3890.0
3454,47,2890.0
4269,47,25800.0
12105,4,12890.0
5245,34,3980.0
4227,38,36200.0
16345,67,568500.0
11702,22,3299.0
3293,50,66007.0
11885,22,15680.0
15210,38,39800.0
14607,47,15050.0
6032,34,7840.0
14649,38,5200.0
13075,50,498.0
889,50,46345.0
16513,34,490.0
14679,57,144.0
6749,60,2442.0
1124,50,9701.0
2042,38,70277.0
13287,22,3290.0
8651,22,1699.0
7449,27,45909.0
13582,11,44990.0
9779,22,6099.0
20,60,3119.0
5161,57,220.0
848,53,7700.0
173,26,8990.0
5664,25,2840.0
17256,22,1549.0
6157,41,800.0
2069,60,4699.0
3061,29,950.0
2189,34,16900.0
15603,47,7900.0
3389,41,1290.0
2004,44,24990.0
799,22,2800.0
15598,38,7365.0
4713,47,2809.0
15038,34,15870.0
5860,37,50000.0
13998,27,1300.0
2798,47,1490.0
1776,29,1370.0
16498,22,1300.0
16540,38,14990.0
14719,60,1649.0
15428,22,5699.0
15067,34,24000.0
3773,52,457.0
3119,22,6290.0
17270,34,8010.0
